hole_ID,x,y,z
TS91-018,441476.91,7005246.46,1497
TS91-019,439208.01,7004995.4,1198.548
TS91-020,442410.98,7003954.83,1723.03
TU001,442084.28,7004359.79,1441.8
TU002,442078.83,7004350.89,1441.3
TU003,442028.11,7003801.85,1441.98
TU004,442023.82,7003799.23,1441.98
TU005,442084.4,7004399.45,1441.62
TU006,442080.94,7004397.51,1441.62
TU007,442118.79,7004350.05,1441.68
TU008,442115.03,7004347.92,1441.68
TU009,442053.99,7004326.56,1441.53
TU010,442053.99,7004326.56,1443
TU011,442118.27,7004348.34,1441.78
TU012,442072.37,7004431.78,1441.89
TU013,442076.55,7004432.94,1441.89
TU014,442088.4,7004380.4,1441.81
TU015,442046.34,7003674.41,1442.94
TU016,442033.07,7003734.57,1442.57
TU017,442029.59,7003732.3,1442.46
TU018,442005.68,7003857.39,1441.64
TU019,442001.37,7003856.08,1441.67
TU020,441977.65,7003908.72,1441.57
TU021,442053.44,7004326.1,1443.74
TU022,442052.94,7004324.12,1442.68
TU023,442061.87,7004493.88,1441.97
TU024,442057.04,7004492.61,1441.96
TU025,442057.28,7004493.65,1444.96
TU026,442057.04,7004492.61,1440.69
TU027,442057.41,7004492.49,1443.83
TU028,442083.28,7003617.86,1443.17
TU029,442080.32,7003616.04,1443.25
TU030,442120.99,7004443.41,1442.99
TU031,442120.93,7004443.39,1440.89
TU032,442057.31,7004522.86,1441.95
TU033,442061.69,7004525.11,1441.95
TU034,442121.78,7004443.7,1440.53
TU035,442099.01,7003600.13,1442.93
TU036,442094.3,7003598.52,1443.13
TU037,442078.66,7003653.85,1443.3
TU038,442074.96,7003652.04,1443.13
TU039,442023.5,7003644.39,1441.71
TU040,442021.49,7003642.59,1441.57
TU041,442110.29,7003591.05,1443.16
TU042,442107.9,7003588.68,1443.16
TU043,442031.49,7003765.74,1442.35
TU044,442021.15,7003826.15,1441.75
TU045,441990.02,7003885.64,1441.46
TU046,442021.57,7003643.11,1441.64
TU047,442004.05,7003576.25,1441.79
TU048,442003.59,7003575.85,1441.79
TU049,441973.85,7003907.12,1441.64
TU050,441951.71,7003966.71,1441.22
TU051,441946.3,7003965.02,1441.15
TU052,442007.13,7003518.74,1441.76
TU053,441912.19,7004018.56,1440.95
TU054,441917.18,7004019.74,1440.9
TU055,441883.77,7004070.32,1441.61
TU056,441879.74,7004068.1,1441.51
TU057,442034.76,7003704.6,1442.53
TU058,442141.1,7004526.23,1441.05
TU059,442014.6,7004293.13,1442.55
TU060,442006.16,7003516.78,1441.78
TU061,442098.58,7004398.64,1442
TU062,442002.25,7003517.64,1442
TU063,441936.16,7003481.56,1440
TU063W1,441936.16,7003481.56,1443
TU064,441936.5,7003482.73,1443
TU065,441882.64,7004067.57,1442
TU066,441882.64,7004067.57,1442
TU067,441977.96,7003907.58,1442
TU068,441977.96,7003907.58,1442
TU069,442027.46,7003802.21,1442
TU070,442046.24,7003674.75,1441.85
TU071,442046.24,7003674.75,1443.4
TU072,442000.36,7004004,1416.19
TU073,442004.51,7003997.39,1415.23
TU074,442003.88,7003996.45,1415.23
TU075,442004.94,7003858.31,1440.87
TU076,442027.58,7003802.26,1440.68
TU077,442078.74,7003652.3,1442.64
TU078,441913.53,7003687.35,1301.38
TU079,441910.16,7003601.35,1303.71
TYK001,442054.1,7003743.46,1536.23
TYK002,442053.59,7003743.23,1536.33
TYK003,441916.08,7004015.95,1538.53
TYK004,441972.97,7003907.9,1535.95
TYK005,441805.19,7003964.76,1480.01
TYK006,441803.68,7003963.83,1479.6
TYK007,441803.28,7003963.84,1482.02
TYK008,441825.15,7003908.66,1484.17
TYK009,441824.96,7003908.59,1481.79
TYK010,441868.48,7003867.59,1492.28
TYK011,441868.48,7003867.59,1492.28
