hole_ID,x,y,z
BD053,5962.170594488526,7971.136709329777,0
FSRC044,1121.2942200297534,29552.17789483387,0
FSRC045,1581.6948068042648,30885.218210399664,0
FSRC046,617.2352584442535,30861.63601211463,0
FSRC047,0.00,30031.783179142516,0
FSRC048,611.6706155460605,30859.32193701703,0
FSRC059,2518.2160225742364,31143.133912545905,0
CCD001,4268.33,932.7173295632463,0
BD048,6090.606180449072,9974.370818148856,0
BD049,6137.890709699349,10217.960979242576,0
BD050,6066.686008010265,10585.649766964125,0
BD051,6091.696566749576,9974.58,0
BD052,6133.911171886851,9122.354021125993,0
BD052W1,6133.911171886851,9122.354021125993,0
FFD166,7925.9997554212305,23495.584516090923,0
LLDKN004,8474.712028219912,22342.893001728266,0
NID006,6241.962186159086,28310.998464775224,0
NID007,6606.076479275856,27720.89130848456,0
NMD140,6388.42,19115.042767377894,0
NMD141,6387.767425635033,19115.072951518607,0
NMD144,6444.526030768799,19236.166993872273,0
NMD145,6443.104534799588,19236.212765021726,0
NMD146,6449.978912541027,19356.167684571483,0
NMD147,6450.8957896339325,19356.10014907497,0
NMD148,6444.063525182799,19236.238207986582,0
NMD150,6383.093677061169,19114.67809982124,0
NMD151,6397.1850521370325,18959.231367977372,0
NMD153,6406.907463325908,19008.22346759284,0
NMD156W1,6656.464823603215,19122.197426434395,0
NMD158,6675.692220182767,19372.752411910136,0
NMD160,6455.787090881401,19178.06768144252,0
BSD025,5727.173204999844,30463.572269840988,0
BSD026,5581.73,30361.29697167241,0
LAD054,11944.784333591884,9319.966054660754,0
LAD055,11970.649236798068,9199.525343044541,0
NED044,13619.290251047501,0.00,0
NMD137W2,6646.084412406239,20091.60185031353,0
NMD137W2W1,6646.084412406239,20091.60185031353,0
NMD161W2,6991.290416184228,19807.41121159442,0
NMD161W2W1,6991.290416184228,19807.41121159442,0
NMD161W2W1W1,6991.290416184228,19807.41121159442,0
NMD161,6991.345763559124,19807.45543107515,0
NMD161W1,6991.345763559124,19807.45543107515,0
NMD162,6456.448497367887,19178.056756422335,0
BD054,6523.124484971035,14118.643650117683,0
BSAC001,5034.597950189578,29915.41048070755,0
BSAC002,5048.59,29928.818577078247,0
BSAC003,5062.854155589079,29941.031349147983,0
BSD023,5685.288513284206,30428.352566466103,0
BSD024,5684.566711586839,30428.837695218823,0
ZK100-1,20346.87793060104,2834.070658966688,0
NH12-01,22912.00390315704,26253.86449028705,0
NH12-02,22668.75100610649,26186.34880112608,0
ZK101-1,20812.526380481246,2538.2418865303366,0
VLLP018,7253.443008841842,22263.16486962387,0
WLL001,7063.633424981446,22471.398690716193,0
WLL002,7107.180743738056,21791.52864353671,0
WLL003,6894.934900706872,21606.138994216217,0
WLL004,7268.422866211737,22362.772297000625,0
WLL005,7664.113640461806,22073.268644912652,0
WLL006,6758.193229590077,21318.070643290943,0
WLL007,7321.485041698778,22801.291125980533,0
WLL008,6875.389265019208,21318.17,0
WLL009,7452.161690132115,21584.710657736105,0
WLL010,7537.723566830124,22744.05815217841,0
WLL011,7362.938940528082,21354.302645942043,0
NMD177,6946.462222583606,19722.980845164122,0
NMD177W1,6946.462222583606,19722.980845164122,0
SFD008,5383.5794408119855,10182.15524344184,0
NMD177W1W1,6946.462222583606,19722.980845164122,0
NMD177W1W2,6946.462222583606,19722.980845164122,0
WBD201,6006.829603997943,18746.110933523974,0
NMD177W1W2W1,6946.462222583606,19722.980845164122,0
WBD202,6006.706187204955,18742.304957753462,0
WBD203,6424.9033870554085,18422.322506230066,0
WWRC092,6496.037276960707,16565.90822422914,0
NMD177W1W2W2,6946.462222583606,19722.980845164122,0
WWRC093,6489.362087054431,16687.37249102135,0
NMD182,5781.866525485796,19586.370018682912,0
NMD165,6478.874722029005,19283.31292655786,0
NMD167,6420.407998276957,19084.592101236012,0
NMD168,6421.078101392439,19084.64641729887,0
NMD171,6278.232132461795,19048.712948881246,0
NMD174,6312.38,18909.067818674444,0
NMD175,6458.853643703975,19177.921855414403,0
NMD178,6409.5523373608075,19054.277292600942,0
NMD179,6285.926874129146,19116.311206368857,0
NMD180,6345.394512851342,19165.562315914223,0
NMD181,6365.30,19230.008869161436,0
XRD002,13309.12,20805.935742938585,0
VLLD032,7352.819709554794,21986.46362831028,0
VLLD033,7352.879855237575,22026.505148386776,0
NMD182W1,5781.866525485796,19586.370018682912,0
NMD182W1W1,5781.866525485796,19586.370018682912,0
NMD182W1W1W1,5781.866525485796,19586.370018682912,0
NMD182W1W2,5781.866525485796,19586.370018682912,0
NMD182W2,5781.866525485796,19586.370018682912,0
NMD183,6594.805369223408,21004.91380417772,0
NMD184,6876.941800817604,21062.977033882697,0
NMD185,6828.4257852872515,20788.701316561153,0
