hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
BD048,160,161,,,23,0.003,,,,,,,53,353,,113,,,,,,,,,,,,,139,,,0.01,0.01,,,,,,,,,,,,,,,,,,124,
BD048,161,162,,,43,0.004,,,,,,,47,395,,112,,,,,,,,,,,,,141,,,0.01,0.01,,,,,,,,,,,,,,,,,,133,
BD048,162,163,,,20,0.005,,,,,,,40,334,,103,,,,,,,,,,,,,116,,,0.009,0.009,,,,,,,,,,,,,,,,,,115,
BD048,163,164,,,19,0.005,,,,,,,76,374,,96,,,,,,,,,,,,,141,,,0.011,0.012,,,,,,,,,,,,,,,,,,109,
BD048,164,165,,,62,0.003,,,,,,,28,236,,32,,,,,,,,,,,,,76,,,0.006,0.007,,,,,,,,,,,,,,,,,,129,
BD048,165,166,,,65,0.007,,,,,,,26,234,,70,,,,,,,,,,,,,96,,,0.004,0.009,,,,,,,,,,,,,,,,,,114,
BD048,166,166.66,,,32,0.005,,,,,,,28,281,,51,,,,,,,,,,,,,85,,,0.007,0.009,,,,,,,,,,,,,,,,,,128,
BD048,166.66,167.84,,,13,0.004,,,,,,,6,21,,17,,,,,,,,,,,,,13,,,0.001,0,,,,,,,,,,,,,,,,,,22,
BD048,167.84,168.60001,,,44,0.005,,,,,,,18,186,,40,,,,,,,,,,,,,73,,,0.002,0,,,,,,,,,,,,,,,,,,46,
BD048,168.60001,169.33,,,986,0.015,,,,,,,75,1170,,13,,,,,,,,,,,,,839,,,0.012,0.012,,,,,,,,,,,,,,,,,,108,
BD048,169.33,169.75999,,,43,0.002,,,,,,,9,171,,2,,,,,,,,,,,,,92,,,0.001,0,,,,,,,,,,,,,,,,,,47,
BD048,169.75999,171,,,526,0.014,,,,,,,62,1230,,13,,,,,,,,,,,,,814,,,0.01,0.013,,,,,,,,,,,,,,,,,,125,
BD048,171,172,,,887,0.025,,,,,,,76,1390,,39,,,,,,,,,,,,,986,,,0.012,0.014,,,,,,,,,,,,,,,,,,64,
BD048,172,173,,,1280,0.017999999,,,,,,,75,1130,,12,,,,,,,,,,,,,835,,,0.012,0.013,,,,,,,,,,,,,,,,,,92,
BD048,173,173.94,,,1870,0.022,,,,,,,82,1350,,20,,,,,,,,,,,,,1060,,,0.011,0.012,,,,,,,,,,,,,,,,,,211,
BD048,173.94,174.22,,,78,0.014,,,,,,,31,191,,383,,,,,,,,,,,,,201,,,0.003,0,,,,,,,,,,,,,,,,,,762,
BD048,174.22,175.60001,,,19,0.003,,,,,,,10,160,,46,,,,,,,,,,,,,63,,,0.002,0,,,,,,,,,,,,,,,,,,162,
BD048,175.60001,176.60001,,,24,0.001,,,,,,,2,34,,19,,,,,,,,,,,,,18,,,0,0,,,,,,,,,,,,,,,,,,17,
BD048,176.60001,177.61,,,10,0.001,,,,,,,1,15,,3,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,15,
BD048,177.61,178.61,,,7,0.002,,,,,,,2,8,,8,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,35,
BD048,181.75,182.8,,,15,0.001,,,,,,,9,22,,11,,,,,,,,,,,,,57,,,0,0,,,,,,,,,,,,,,,,,,209,
BD048,182.8,183.8,,,7,0.013,,,,,,,9,23,,8,,,,,,,,,,,,,32,,,0,0,,,,,,,,,,,,,,,,,,34,
BD048,183.8,184.89999,,,9,0.001,,,,,,,24,58,,20,,,,,,,,,,,,,159,,,0,0,,,,,,,,,,,,,,,,,,34,
BD048,184.89999,186,,,16,0.003,,,,,,,198,643,,4,,,,,,,,,,,,,2680,,,0,0,,,,,,,,,,,,,,,,,,36,
BD048,186,187,,,12,0.004,,,,,,,47,647,,0,,,,,,,,,,,,,2690,,,0,0,,,,,,,,,,,,,,,,,,27,
BD048,187,188,,,11,0.005,,,,,,,37,573,,0,,,,,,,,,,,,,2670,,,0,0,,,,,,,,,,,,,,,,,,25,
BD048,188,189,,,13,0.004,,,,,,,109,588,,0,,,,,,,,,,,,,2610,,,0.001,0,,,,,,,,,,,,,,,,,,21,
BD048,189,190,,,11,0.008,,,,,,,91,557,,0,,,,,,,,,,,,,2380,,,0.001,0,,,,,,,,,,,,,,,,,,21,
BD048,190,190.8,,,8,0.006,,,,,,,266,534,,0,,,,,,,,,,,,,2600,,,0.002,0,,,,,,,,,,,,,,,,,,21,
BD048,196.36,197,,,8,0.002,,,,,,,116,623,,0,,,,,,,,,,,,,2560,,,0.001,0,,,,,,,,,,,,,,,,,,21,
BD048,198,199,,,14,0.004,,,,,,,55,680,,0,,,,,,,,,,,,,2690,,,0.003,0,,,,,,,,,,,,,,,,,,24,
BD048,199,200,,,12,0.011,,,,,,,135,596,,0,,,,,,,,,,,,,2740,,,0.001,0,,,,,,,,,,,,,,,,,,32,
BD048,200,201,,,10,0.004,,,,,,,62,580,,0,,,,,,,,,,,,,2070,,,0.003,0,,,,,,,,,,,,,,,,,,23,
BD048,201,202,,,16,0.003,,,,,,,44,545,,0,,,,,,,,,,,,,2960,,,0.001,0,,,,,,,,,,,,,,,,,,24,
BD048,202,203,,,11,0.004,,,,,,,35,539,,2,,,,,,,,,,,,,2680,,,0.001,0,,,,,,,,,,,,,,,,,,32,
BD048,203,204.02,,,12,0.007,,,,,,,147,649,,0,,,,,,,,,,,,,4260,,,0.001,0,,,,,,,,,,,,,,,,,,28,
BD048,204.02,205.02,,,0,0,,,,,,,3,7,,10,,,,,,,,,,,,,30,,,0,0,,,,,,,,,,,,,,,,,,13,
BD048,210.95,212,,,5,0,,,,,,,5,10,,69,,,,,,,,,,,,,23,,,0,0,,,,,,,,,,,,,,,,,,137,
BD048,212,213,,,0,0,,,,,,,4,6,,20,,,,,,,,,,,,,26,,,0,0,,,,,,,,,,,,,,,,,,13,
BD048,213,214,,,0,0,,,,,,,6,7,,12,,,,,,,,,,,,,24,,,0,0,,,,,,,,,,,,,,,,,,17,
BD048,214,215,,,0,0.001,,,,,,,5,7,,6,,,,,,,,,,,,,8,,,0.001,0,,,,,,,,,,,,,,,,,,13,
BD048,215,215.99001,,,0,0.013,,,,,,,4,7,,2,,,,,,,,,,,,,11,,,0,0,,,,,,,,,,,,,,,,,,9,
BD048,215.99001,216.39,,,18,0.001,,,,,,,23,110,,68,,,,,,,,,,,,,36,,,0.002,0,,,,,,,,,,,,,,,,,,17,
