anumber,companyholeid,companysampleid,fromdepth,todepth,Ag_PPM,Al_PPM,As_PPM,Au_PPM,Ba_PPM,Be_PPM,Bi_PPM,Ca_PPM,Cd_PPM,Ce_PPM,Co_PPM,Cr_PPM,Cs_PPM,Cu_PPM,Fe_PPM,Ga_PPM,Ge_PPM,Hf_PPM,Hg_PPM,In_PPM,La_PPM,Li_PPM,Mg_PPM,Mn_PPM,Mo_PPM,Nb_PPM,Ni_PPM,P_PPM,Pb_PPM,Pd_PPM,Pt_PPM,Rb_PPM,Re_PPM,S_PPM,Sb_PPM,Sc_PPM,Se_PPM,Sn_PPM,Sr_PPM,Ta_PPM,Te_PPM,Th_PPM,Ti_PPM,Tl_PPM,U_PPM,V_PPM,W_PPM,Y_PPM,Zn_PPM,Zr_PPM
101533,BD048,ASW69987,175.60001,176.60001,,,24.0,0.001,,,,,,,2.0,34.0,,19.0,,,,,,,,,,,,,18.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,17.0,
101533,BD048,ASW69988,176.60001,177.61,,,10.0,0.001,,,,,,,1.0,15.0,,3.0,,,,,,,,,,,,,4.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,15.0,
101533,BD048,ASW69989,177.61,178.61,,,7.0,0.0020000001,,,,,,,2.0,8.0,,8.0,,,,,,,,,,,,,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,35.0,
101533,BD048,ASW69993,181.75,182.8,,,15.0,0.001,,,,,,,9.0,22.0,,11.0,,,,,,,,,,,,,57.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,209.0,
101533,BD048,ASW69994,182.8,183.8,,,7.0,0.013,,,,,,,9.0,23.0,,8.0,,,,,,,,,,,,,32.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,34.0,
101533,BD048,ASW69995,183.8,184.89999,,,9.0,0.001,,,,,,,24.0,58.0,,20.0,,,,,,,,,,,,,159.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,34.0,
101533,BD048,ASW69996,184.89999,186.0,,,16.0,0.003,,,,,,,198.0,643.0,,4.0,,,,,,,,,,,,,2680.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,36.0,
101533,BD048,ASW69997,186.0,187.0,,,12.0,0.0040000002,,,,,,,47.0,647.0,,0.0,,,,,,,,,,,,,2690.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,27.0,
101533,BD048,ASW69998,187.0,188.0,,,11.0,0.0049999999,,,,,,,37.0,573.0,,0.0,,,,,,,,,,,,,2670.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,25.0,
101533,BD048,ASW69999,188.0,189.0,,,13.0,0.0040000002,,,,,,,109.0,588.0,,0.0,,,,,,,,,,,,,2610.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,21.0,
101533,BD048,ASW70501,189.0,190.0,,,11.0,0.0080000004,,,,,,,91.0,557.0,,0.0,,,,,,,,,,,,,2380.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,21.0,
101533,BD048,ASW70502,190.0,190.8,,,8.0,0.0060000001,,,,,,,266.0,534.0,,0.0,,,,,,,,,,,,,2600.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,21.0,
101533,BD048,ASW70508,196.36,197.0,,,8.0,0.0020000001,,,,,,,116.0,623.0,,0.0,,,,,,,,,,,,,2560.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,21.0,
101533,BD048,ASW70510,198.0,199.0,,,14.0,0.0040000002,,,,,,,55.0,680.0,,0.0,,,,,,,,,,,,,2690.0,,,0.003,0.0,,,,,,,,,,,,,,,,,,24.0,
101533,BD048,ASW70511,199.0,200.0,,,12.0,0.011,,,,,,,135.0,596.0,,0.0,,,,,,,,,,,,,2740.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,32.0,
101533,BD048,ASW70512,200.0,201.0,,,10.0,0.0040000002,,,,,,,62.0,580.0,,0.0,,,,,,,,,,,,,2070.0,,,0.003,0.0,,,,,,,,,,,,,,,,,,23.0,
101533,BD048,ASW70513,201.0,202.0,,,16.0,0.003,,,,,,,44.0,545.0,,0.0,,,,,,,,,,,,,2960.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,24.0,
101533,BD048,ASW70514,202.0,203.0,,,11.0,0.0040000002,,,,,,,35.0,539.0,,2.0,,,,,,,,,,,,,2680.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,32.0,
101533,BD048,ASW70515,203.0,204.02,,,12.0,0.0070000002,,,,,,,147.0,649.0,,0.0,,,,,,,,,,,,,4260.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,28.0,
101533,BD048,ASW70516,204.02,205.02,,,0.0,0.0,,,,,,,3.0,7.0,,10.0,,,,,,,,,,,,,30.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,13.0,
101533,BD048,ASW70517,210.95,212.0,,,5.0,0.0,,,,,,,5.0,10.0,,69.0,,,,,,,,,,,,,23.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,137.0,
101533,BD048,ASW70518,212.0,213.0,,,0.0,0.0,,,,,,,4.0,6.0,,20.0,,,,,,,,,,,,,26.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,13.0,
101533,BD048,ASW70519,213.0,214.0,,,0.0,0.0,,,,,,,6.0,7.0,,12.0,,,,,,,,,,,,,24.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,17.0,
101533,BD048,ASW70520,214.0,215.0,,,0.0,0.001,,,,,,,5.0,7.0,,6.0,,,,,,,,,,,,,8.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,13.0,
101533,BD048,ASW70522,215.0,215.99001,,,0.0,0.013,,,,,,,4.0,7.0,,2.0,,,,,,,,,,,,,11.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,9.0,
101533,BD048,ASW70523,215.99001,216.39,,,18.0,0.001,,,,,,,23.0,110.0,,68.0,,,,,,,,,,,,,36.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,17.0,
101533,BD048,ASW70524,216.39,217.39,,,0.0,0.0,,,,,,,2.0,3.0,,14.0,,,,,,,,,,,,,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,9.0,
101533,BD048,ASW70525,219.64999,220.39999,,,7.0,0.013,,,,,,,13.0,19.0,,88.0,,,,,,,,,,,,,32.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,41.0,
101533,BD048,ASW70526,226.72,227.72,,,0.0,0.001,,,,,,,3.0,3.0,,6.0,,,,,,,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,16.0,
101533,BD048,ASW70527,227.72,228.72,,,0.0,0.003,,,,,,,6.0,3.0,,3.0,,,,,,,,,,,,,6.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,26.0,
101533,BD048,ASW70528,228.72,229.72,,,0.0,0.0060000001,,,,,,,6.0,4.0,,19.0,,,,,,,,,,,,,7.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,25.0,
101533,BD048,ASW70529,229.72,230.72,,,0.0,0.003,,,,,,,6.0,5.0,,5.0,,,,,,,,,,,,,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,63.0,
101533,BD049,ASW69452,128.3,129.3,,,29.0,0.0040000002,,,,,,,43.0,293.0,,112.0,,,,,,,,,,,,,127.0,,,0.0080000004,0.0099999998,,,,,,,,,,,,,,,,,,209.0,
101533,BD049,ASW69453,129.3,129.7,,,23.0,0.014,,,,,,,62.0,128.0,,103.0,,,,,,,,,,,,,225.0,,,0.0080000004,0.0,,,,,,,,,,,,,,,,,,353.0,
101533,BD049,ASW69454,129.7,130.7,,,63.0,0.0040000002,,,,,,,40.0,344.0,,90.0,,,,,,,,,,,,,117.0,,,0.0080000004,0.014,,,,,,,,,,,,,,,,,,153.0,
101533,BD049,ASW69455,130.7,131.5,,,229.0,0.015,,,,,,,84.0,312.0,,146.0,,,,,,,,,,,,,215.0,,,0.030999999,0.012,,,,,,,,,,,,,,,,,,179.0,
101533,BD049,ASW69456,131.5,132.5,,,61.0,0.0049999999,,,,,,,20.0,105.0,,55.0,,,,,,,,,,,,,42.0,,,0.003,0.0049999999,,,,,,,,,,,,,,,,,,119.0,
101533,BD049,ASW69457,132.5,133.5,,,23.0,0.0040000002,,,,,,,13.0,66.0,,64.0,,,,,,,,,,,,,38.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,141.0,
101533,BD049,ASW69458,133.5,134.60001,,,53.0,0.012,,,,,,,37.0,84.0,,178.0,,,,,,,,,,,,,90.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,82.0,
101533,BD049,ASW69459,134.60001,135.60001,,,206.0,0.017000001,,,,,,,41.0,394.0,,106.0,,,,,,,,,,,,,112.0,,,0.0060000001,0.0089999996,,,,,,,,,,,,,,,,,,223.0,
101533,BD049,ASW69461,210.05,210.3,,,108.0,0.0049999999,,,,,,,53.0,231.0,,3.0,,,,,,,,,,,,,1200.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,122.0,
101533,BD049,ASW69462,210.3,211.14999,,,32.0,0.40900001,,,,,,,125.0,677.0,,2.0,,,,,,,,,,,,,2650.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,59.0,
101533,BD049,ASW69463,211.14999,212.14999,,,9.0,0.025,,,,,,,86.0,721.0,,0.0,,,,,,,,,,,,,2660.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,54.0,
101533,BD049,ASW69464,212.14999,213.14999,,,9.0,0.016000001,,,,,,,115.0,594.0,,0.0,,,,,,,,,,,,,2580.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,44.0,
101533,BD049,ASW69465,213.14999,214.14999,,,6.0,0.014,,,,,,,127.0,579.0,,0.0,,,,,,,,,,,,,2420.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,49.0,
101533,BD049,ASW69466,214.14999,214.5,,,26.0,0.016000001,,,,,,,126.0,422.0,,0.0,,,,,,,,,,,,,1970.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,69.0,
101533,BD049,ASW69467,235.14999,235.60001,,,0.0,0.003,,,,,,,48.0,57.0,,99.0,,,,,,,,,,,,,134.0,,,0.011,0.012,,,,,,,,,,,,,,,,,,115.0,
