ogc_fid,id,holeid,companyholeid,longitude,latitude,dataset,holetype,azimuth,dip,maxdepth,anumber,company,geom,x,y,elevation
1995814,3277176,101533ForrestaniaNMD156W1,NMD156W1,119.683679098963,-32.4577338044433,,DD,272.67999,-55.23,689.95001,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000004FC0FA65C1EB5D40C72D7405973A40C0,6656.464823603215,19122.197426434395,0.0
1995816,3277178,101533ForrestaniaNMD160,NMD160,119.681871191461,-32.4572304688126,,DD,271.26001,-61.84,381.67999,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000036DA10C7A3EB5D4076242B87863A40C0,6455.787090881401,19178.06768144252,0.0
1995735,3277097,101533ForrestaniaBSD025,BSD025,119.675307102399,-32.3555592563045,,DD,197.60001,-74.300003,403.07001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000DBE3473B38EB5D4018CF38F7822D40C0,5727.173204999844,30463.572269840988,0.0
1995736,3277098,101533ForrestaniaBSD026,BSD026,119.673996767963,-32.3564806553871,,DD,232.2,-70.300003,345.97,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000B10057C322EB5D40AA457A28A12D40C0,5581.72608260395,30361.29697167241,0.0
1995737,3277099,101533ForrestaniaLAD054,LAD054,119.731321617071,-32.54604219518,,DD,88.5,-60.0,492.70999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000610B2FF9CDEE5D405F44EDB5E44540C0,11944.784333591884,9319.966054660754,0.0
1995738,3277100,101533ForrestaniaLAD055,LAD055,119.731554634217,-32.547127246636,,DD,86.0,-60.200001,500.48001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000C14C87CAD1EE5D40AD86FF43084640C0,11970.649236798068,9199.525343044541,0.0
1995728,3277090,101533ForrestaniaBD054,BD054,119.682477834651,-32.5028108654912,,RC,269.39999,-74.300003,88.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000008A0483B7ADEB5D40D8AD3F1B5C4040C0,6523.124484971035,14118.643650117683,0.0
1995730,3277092,101533ForrestaniaBSAC001,BSAC001,119.669067685689,-32.3604976508012,,AC,210.0,-60.0,27.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000000F364501D2EA5D40ED3C7AC9242E40C0,5034.597950189578,29915.41048070755,0.0
1995731,3277093,101533ForrestaniaBSAC002,BSAC002,119.669193745372,-32.3603768571402,,AC,210.0,-60.0,35.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000DFC30012D4EA5D4083D32FD4202E40C0,5048.59057500235,29928.818577078247,0.0
1995732,3277094,101533ForrestaniaBSAC003,BSAC003,119.669322246098,-32.3602668321666,,AC,226.0,-60.0,33.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000007A5EF92CD6EA5D409AFE3A391D2E40C0,5062.854155589079,29941.031349147983,0.0
1995733,3277095,101533ForrestaniaBSD023,BSD023,119.674929762834,-32.3558765509295,,DD,236.10001,-59.700001,415.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000059E9A0C32EB5D40E7D3E15C8D2D40C0,5685.288513284206,30428.352566466103,0.0
1995734,3277096,101533ForrestaniaBSD024,BSD024,119.674923260116,-32.3558721804002,,DD,221.3,-70.699997,434.60001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000826054F131EB5D40023038388D2D40C0,5684.566711586839,30428.837695218823,0.0
2300035,3665918,102386HydenZK100-1,ZK100-1,119.807016153981,-32.6044736852313,,DD,225.0,-75.0,351.14999,102386,Goldstone Resources Pty Ltd,0101000020E61000004B2C1527A6F35D4036AECA645F4D40C0,20346.87793060104,2834.070658966688,0.0
2261456,3638313,102924ForrestaniaNH12-01,NH12-01,119.830125396977,-32.3934845516158,,AC,0.0,-90.0,12.0,102924,Cassini Resources Limited,0101000020E610000018E645C620F55D40E655A8B35D3240C0,22912.00390315704,26253.86449028705,0.0
2261457,3638314,102924ForrestaniaNH12-02,NH12-02,119.827933929436,-32.3940928010677,,AC,0.0,-90.0,4.0,102924,Cassini Resources Limited,0101000020E61000004A8B97DEFCF45D40601606A2713240C0,22668.75100610649,26186.34880112608,0.0
2300036,3665919,102386HydenZK101-1,ZK101-1,119.811211185061,-32.6071388093073,,DD,225.0,-75.0,350.10001,102386,Goldstone Resources Pty Ltd,0101000020E6100000217F51E2EAF35D40BA0D79B9B64D40C0,20812.526380481246,2538.2418865303366,0.0
1995739,3277101,101533ForrestaniaVLLP018,VLLP018,119.689057280812,-32.4294368004506,,DD,269.70001,-60.200001,399.57999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000208AB58319EC5D402ED1FAC8F73640C0,7253.443008841842,22263.16486962387,0.0
1995740,3277102,101533ForrestaniaWLL001,WLL001,119.687347284561,-32.4275608200804,,DD,269.0,-60.700001,228.37,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000C50B777FFDEB5D40ECA51D50BA3640C0,7063.633424981446,22471.398690716193,0.0
