ogc_fid,id,collarid,holeid,anumber,companyholeid,company,maxdepth,depth,hfield,calcdip,calcazi,wkb_geometry
654553,3277182,3277182,101533ForrestaniaNMD165,101533,NMD165,NEWEXCO SERVICES PTY LTD,324.67001,0.0,GSWA_Azi,-58.240002,272.05,
654554,3277186,3277186,101533ForrestaniaNMD174,101533,NMD174,NEWEXCO SERVICES PTY LTD,248.98,0.0,GSWA_Azi,-74.019997,271.86,
654555,3277187,3277187,101533ForrestaniaNMD175,101533,NMD175,NEWEXCO SERVICES PTY LTD,416.29999,0.0,GSWA_Azi,-71.709999,270.78,
654556,3277189,3277189,101533ForrestaniaNMD179,101533,NMD179,NEWEXCO SERVICES PTY LTD,144.03999,0.0,GSWA_Azi,-69.970001,242.13,
654558,3277102,3277102,101533ForrestaniaWLL001,101533,WLL001,NEWEXCO SERVICES PTY LTD,228.37,0.0,GSWA_Azi,-60.700001,269.0,
654559,3277107,3277107,101533ForrestaniaWLL006,101533,WLL006,NEWEXCO SERVICES PTY LTD,327.23001,0.0,GSWA_Azi,-50.700001,269.8,
654560,3277110,3277110,101533ForrestaniaWLL009,101533,WLL009,NEWEXCO SERVICES PTY LTD,531.95001,0.0,GSWA_Azi,-69.800003,273.3,
831023,3277190,3277190,101533ForrestaniaNMD180,101533,NMD180,NEWEXCO SERVICES PTY LTD,179.92999,0.0,GSWA_Azi,-63.84,271.82,
831025,3277162,3277162,101533ForrestaniaVLLD032,101533,VLLD032,NEWEXCO SERVICES PTY LTD,294.5,0.0,GSWA_Azi,-60.0,269.517,
831026,3277152,3277152,101533ForrestaniaWWRC093,101533,WWRC093,NEWEXCO SERVICES PTY LTD,190.0,0.0,GSWA_Azi,-68.800003,270.0,
1110391,3665919,3665919,102386HydenZK101-1,102386,ZK101-1,Goldstone Resources Pty Ltd,350.10001,350.10001,GSWA_Azi,-75.0,225.0,
1017888,3277137,3277137,101533ForrestaniaNMD185,101533,NMD185,NEWEXCO SERVICES PTY LTD,359.19,0.0,GSWA_Azi,-58.099998,291.2,
1017889,3277148,3277148,101533ForrestaniaWBD201,101533,WBD201,NEWEXCO SERVICES PTY LTD,384.92999,0.0,GSWA_Azi,-60.599998,275.6,
1142441,3277091,3277091,101533ForrestaniaSFD008,101533,SFD008,NEWEXCO SERVICES PTY LTD,168.39999,0.0,GSWA_Azi,-59.900002,295.0,
1142442,3277108,3277108,101533ForrestaniaWLL007,101533,WLL007,NEWEXCO SERVICES PTY LTD,264.51999,0.0,GSWA_Azi,-60.099998,268.0,
1142443,3277109,3277109,101533ForrestaniaWLL008,101533,WLL008,NEWEXCO SERVICES PTY LTD,267.94,0.0,GSWA_Azi,-64.900002,270.9,
1218743,3277111,3277111,101533ForrestaniaWLL010,101533,WLL010,NEWEXCO SERVICES PTY LTD,385.22,0.0,GSWA_Azi,-78.699997,269.9,
1538624,3277184,3277184,101533ForrestaniaNMD168,101533,NMD168,NEWEXCO SERVICES PTY LTD,360.62,0.0,GSWA_Azi,-66.580002,269.08,
1278528,3277188,3277188,101533ForrestaniaNMD178,101533,NMD178,NEWEXCO SERVICES PTY LTD,389.89999,0.0,GSWA_Azi,-52.110001,336.17,
1278530,3277136,3277136,101533ForrestaniaNMD184,101533,NMD184,NEWEXCO SERVICES PTY LTD,349.64001,0.0,GSWA_Azi,-61.5,269.9,
1538628,3277163,3277163,101533ForrestaniaVLLD033,101533,VLLD033,NEWEXCO SERVICES PTY LTD,300.5,0.0,GSWA_Azi,-63.0,269.517,
1538629,3277101,3277101,101533ForrestaniaVLLP018,101533,VLLP018,NEWEXCO SERVICES PTY LTD,399.57999,0.0,GSWA_Azi,-60.200001,269.7,
1538630,3277106,3277106,101533ForrestaniaWLL005,101533,WLL005,NEWEXCO SERVICES PTY LTD,652.15997,0.0,GSWA_Azi,-71.099998,269.8,
1278532,3277104,3277104,101533ForrestaniaWLL003,101533,WLL003,NEWEXCO SERVICES PTY LTD,279.32001,0.0,GSWA_Azi,-60.200001,272.4,
1278533,3277105,3277105,101533ForrestaniaWLL004,101533,WLL004,NEWEXCO SERVICES PTY LTD,342.76999,0.0,GSWA_Azi,-50.200001,269.4,
1278534,3277159,3277159,101533ForrestaniaXRD002,101533,XRD002,NEWEXCO SERVICES PTY LTD,387.79999,0.0,GSWA_Azi,-61.040001,86.51,
1504395,3277103,3277103,101533ForrestaniaWLL002,101533,WLL002,NEWEXCO SERVICES PTY LTD,453.23001,0.0,GSWA_Azi,-55.5,304.3,
1504396,3277112,3277112,101533ForrestaniaWLL011,101533,WLL011,NEWEXCO SERVICES PTY LTD,607.16998,0.0,GSWA_Azi,-72.099998,268.8,
1686706,3277183,3277183,101533ForrestaniaNMD167,101533,NMD167,NEWEXCO SERVICES PTY LTD,309.28,0.0,GSWA_Azi,-55.169998,269.43,
1686707,3277185,3277185,101533ForrestaniaNMD171,101533,NMD171,NEWEXCO SERVICES PTY LTD,125.85,0.0,GSWA_Azi,-55.439999,271.21,
1686708,3277191,3277191,101533ForrestaniaNMD181,101533,NMD181,NEWEXCO SERVICES PTY LTD,144.38,0.0,GSWA_Azi,-68.440002,271.65,
1686712,3277149,3277149,101533ForrestaniaWBD202,101533,WBD202,NEWEXCO SERVICES PTY LTD,360.67001,0.0,GSWA_Azi,-67.199997,257.6,
1686713,3277151,3277151,101533ForrestaniaWWRC092,101533,WWRC092,NEWEXCO SERVICES PTY LTD,196.0,0.0,GSWA_Azi,-69.400002,271.2,
1798746,3638313,3638313,102924ForrestaniaNH12-01,102924,NH12-01,Cassini Resources Limited,12.0,0.0,GSWA_Azi,-90.0,0.0,
81921,3277092,3277092,101533ForrestaniaBSAC001,101533,BSAC001,NEWEXCO SERVICES PTY LTD,27.0,27.0,GSWA_Azi,-60.0,210.0,
81922,3277095,3277095,101533ForrestaniaBSD023,101533,BSD023,NEWEXCO SERVICES PTY LTD,415.0,415.0,GSWA_Azi,-59.700001,236.1,
81923,3277161,3277161,101533ForrestaniaLLDKN004,101533,LLDKN004,NEWEXCO SERVICES PTY LTD,1282.7,1282.7,GSWA_Azi,-79.860001,270.197,
81925,3277165,3277165,101533ForrestaniaNID007,101533,NID007,NEWEXCO SERVICES PTY LTD,256.0,256.0,GSWA_Azi,-60.0,269.596,
81927,3277176,3277176,101533ForrestaniaNMD156W1,101533,NMD156W1,NEWEXCO SERVICES PTY LTD,689.95001,689.95001,GSWA_Azi,-55.23,272.68,
723980,3131887,3131887,100289FORRESTANIA PROJECTFSRC046,100289,FSRC046,HANNANS REWARD LTD,250.0,250.0,GSWA_Azi,-61.200001,332.0,
325767,3131889,3131889,100289FORRESTANIA PROJECTFSRC048,100289,FSRC048,HANNANS REWARD LTD,210.0,210.0,GSWA_Azi,-61.299999,152.0,
496716,3277155,3277155,101533ForrestaniaBD050,101533,BD050,NEWEXCO SERVICES PTY LTD,277.10001,277.10001,GSWA_Azi,-60.709999,272.5,
496717,3277166,3277166,101533ForrestaniaNMD140,101533,NMD140,NEWEXCO SERVICES PTY LTD,681.5,681.5,GSWA_Azi,-74.93,273.72,
496719,3277173,3277173,101533ForrestaniaNMD150,101533,NMD150,NEWEXCO SERVICES PTY LTD,259.88,259.88,GSWA_Azi,-52.66,271.78,
1142438,3277160,3277160,101533ForrestaniaFFD166,101533,FFD166,NEWEXCO SERVICES PTY LTD,480.70001,480.70001,GSWA_Azi,-67.949997,269.877,
1017884,3277090,3277090,101533ForrestaniaBD054,101533,BD054,NEWEXCO SERVICES PTY LTD,88.0,88.0,GSWA_Azi,-74.300003,269.4,
1017885,3277100,3277100,101533ForrestaniaLAD055,101533,LAD055,NEWEXCO SERVICES PTY LTD,500.48001,500.48001,GSWA_Azi,-60.200001,86.0,
831020,3277170,3277170,101533ForrestaniaNMD146,101533,NMD146,NEWEXCO SERVICES PTY LTD,221.8,221.8,GSWA_Azi,-55.299999,271.17,
831021,3277178,3277178,101533ForrestaniaNMD160,101533,NMD160,NEWEXCO SERVICES PTY LTD,381.67999,381.67999,GSWA_Azi,-61.84,271.26,
1504390,3277157,3277157,101533ForrestaniaBD052,101533,BD052,NEWEXCO SERVICES PTY LTD,236.60001,236.60001,GSWA_Azi,-59.860001,269.21,
1206841,3131885,3131885,100289FORRESTANIA PROJECTFSRC044,100289,FSRC044,HANNANS REWARD LTD,198.0,198.0,GSWA_Azi,-59.5,332.0,
1206842,3131886,3131886,100289FORRESTANIA PROJECTFSRC045,100289,FSRC045,HANNANS REWARD LTD,198.0,198.0,GSWA_Azi,-60.599998,332.0,
1206843,3131888,3131888,100289FORRESTANIA PROJECTFSRC047,100289,FSRC047,HANNANS REWARD LTD,198.0,198.0,GSWA_Azi,-59.099998,332.0,
